"dlnumber","filename","name"
"19425","Citrix_Virtual_Apps_and_Desktops_7_1912_3000.iso","Citrix Virtual Apps and Desktops 7 1912 CU3 ISO"
"19426","VDAServerSetup_1912.exe","Multi-session OS Virtual Delivery Agent 1912 LTSR CU3"
"19427","VDAWorkstationSetup_1912.exe","Single-session OS Virtual Delivery Agent 1912 LTSR CU3"
"19428","VDAWorkstationCoreSetup_1912.exe","Single-session OS Core Services Virtual Delivery Agent 1912 LTSR CU3"
"19429","ProfileMgmt_1912.zip","Profile Management 1912 LTSR CU3"
"19431","Citrix_Provisioning_1912_13.iso","Citrix Provisioning 1312 CU3"
"19799","Citrix_Virtual_Apps_and_Desktops_7_2109.iso","Citrix Virtual Apps and Desktops 7 2109 ISO"
"19800","VDAServerSetup_2109.exe","Multi-session OS Virtual Delivery Agent 2109"
"19801","VDAWorkstationSetup_2109.exe","Single-session OS Virtual Delivery Agent 2109"
"19802","VDAWorkstationCoreSetup_2109.exe","Single-session OS Core Services Virtual Delivery Agent 2109"
"9803","Citrix_Licensing_11.17.2.0_BUILD_36000.zip","License Server for Windows - Version 11.17.2.0 Build 36000"
"19803","ProfileMgmt_2109.zip","Profile Management 2109"
"19430","CitrixStoreFront-x64.exe ","StoreFront 1912 LTSR CU3"
"19804","Citrix_Provisioning_2109.iso","Citrix Provisioning 2109"